"filename", "language", "JSON", "Markdown", "Ruby", "Python", "comment", "blank", "total"
"e:\dev\github\video_loom\.prettierrc", "JSON", 9, 0, 0, 0, 0, 0, 9
"e:\dev\github\video_loom\README.md", "Markdown", 0, 4, 0, 0, 0, 1, 5
"e:\dev\github\video_loom\changelog.md", "Markdown", 0, 3, 0, 0, 0, 2, 5
"e:\dev\github\video_loom\src\app.macos.spec", "Ruby", 0, 0, 3, 0, 0, 0, 3
"e:\dev\github\video_loom\src\app.py", "Python", 0, 0, 0, 5, 1, 2, 8
"e:\dev\github\video_loom\src\app.win32.spec", "Ruby", 0, 0, 1, 0, 0, 0, 1
"e:\dev\github\video_loom\src\audio_setting_frame.py", "Python", 0, 0, 0, 48, 4, 11, 63
"e:\dev\github\video_loom\src\file_utils.py", "Python", 0, 0, 0, 3, 0, 0, 3
"e:\dev\github\video_loom\src\video_control_frame.py", "Python", 0, 0, 0, 1, 1, 1, 3
"e:\dev\github\video_loom\src\video_renderer_frame.py", "Python", 0, 0, 0, 36, 5, 6, 47
"Total", "-", 9, 7, 4, 93, 11, 23, 147